Year,Gender,Age Group,Units,Value
,,,Percent by gender,
2017.0,,,Percent by gender,8.5
2017.0,male,,Percent by gender,7.5
2017.0,female,,Percent by gender,9.5
2017.0,,,Percent by age,8.5
2017.0,,Under 18 years,Percent by age,11.4
2017.0,,18 to 64 years,Percent by age,8.4
2017.0,,65 years and over,Percent by age,4.1
2016.0,,,Percent by gender,9.0
2016.0,male,,Percent by gender,8.1
2016.0,female,,Percent by gender,10.0
2016.0,,,Percent by age,9.0
2016.0,,Under 18 years,Percent by age,12.4
2016.0,,18 to 64 years,Percent by age,8.8
2016.0,,65 years and over,Percent by age,4.0
2015.0,,,Percent by gender,9.4
2015.0,male,,Percent by gender,8.5
2015.0,female,,Percent by gender,10.4
2015.0,,,Percent by age,9.4
2015.0,,Under 18 years,Percent by age,13.2
2015.0,,18 to 64 years,Percent by age,9.1
2015.0,,65 years and over,Percent by age,3.8
2014.0,,,Percent by gender,9.5
2014.0,male,,Percent by gender,8.6
2014.0,female,,Percent by gender,10.5
2014.0,,,Percent by age,9.5
2014.0,,Under 18 years,Percent by age,13.3
2014.0,,18 to 64 years,Percent by age,9.2
2014.0,,65 years and over,Percent by age,3.7
2013.0,,,Percent by gender,9.5
2013.0,male,,Percent by gender,8.5
2013.0,female,,Percent by gender,10.4
2013.0,,,Percent by age,9.5
2013.0,,Under 18 years,Percent by age,13.2
2013.0,,18 to 64 years,Percent by age,9.2
2013.0,,65 years and over,Percent by age,3.6
2012.0,,,Percent by gender,8.9
2012.0,male,,Percent by gender,7.9
2012.0,female,,Percent by gender,9.9
2012.0,,,Percent by age,8.9
2012.0,,Under 18 years,Percent by age,12.3
2012.0,,18 to 64 years,Percent by age,8.6
2012.0,,65 years and over,Percent by age,3.5
