Year,Fire Name,Unit,Value
2018 November,Camp Fire (Butte County),Cost ($B),16.5
2018 November,Camp Fire (Butte County),Acres,153336.0
2018 November,Camp Fire (Butte County),Structures,18804.0
2018 November,Camp Fire (Butte County),Deaths,85.0
2017 October,Tubbs (Napa & Sonoma),Cost ($B),1.3
2017 October,Tubbs (Napa & Sonoma),Acres,36807.0
2017 October,Tubbs (Napa & Sonoma),Structures,5643.0
2017 October,Tubbs (Napa & Sonoma),Deaths,22.0
2018 July,"Carr (Shasta, Trinity)",Cost ($B),1.6
2018 July,"Carr (Shasta, Trinity)",Acres,229651.0
2018 July,"Carr (Shasta, Trinity)",Structures,1614.0
2018 July,"Carr (Shasta, Trinity)",Deaths,8.0
