Year,Fire Name (County),Units,Value
2018 November,2018 Camp Fire (Butte County),Cost ($B),16.5
2018 November,2018 Camp Fire (Butte County),Acres,153336.0
2018 November,2018 Camp Fire (Butte County),Structures,18804.0
2017 October,2017 Tubbs Fire (Napa & Sonoma),Cost ($B),1.3
2017 October,2017 Tubbs Fire (Napa & Sonoma),Acres,36807.0
2017 October,2017 Tubbs Fire (Napa & Sonoma),Structures,5643.0
2018 July,"2018 Carr Fire (Shasta, Trinity)",Cost ($B),1.7
2018 July,"2018 Carr Fire (Shasta, Trinity)",Acres,229651.0
2018 July,"2018 Carr Fire (Shasta, Trinity)",Structures,1614.0
2003 October,2003 Old Fire (San Bernardino),Cost ($B),1.2
2003 October,2003 Old Fire (San Bernardino),Acres,91281.0
2003 October,2003 Old Fire (San Bernardino),Structures,1003.0
2018 November,2018 Woolsey Fire (LA & Ventura),Cost ($B),6.0
2018 November,2018 Woolsey Fire (LA & Ventura),Acres,96949.0
2018 November,2018 Woolsey Fire (LA & Ventura),Structures,1643.0
2017 December,2017 Thomas Fire (Ventura & Santa Barbara),Cost ($B),2.2
2017 December,2017 Thomas Fire (Ventura & Santa Barbara),Acres,281893.0
2017 December,2017 Thomas Fire (Ventura & Santa Barbara),Structures,1063.0
2003 October,2003 Cedar Fire (San Diego),Cost ($B),1.3
2003 October,2003 Cedar Fire (San Diego),Acres,273246.0
2003 October,2003 Cedar Fire (San Diego),Structures,2820.0
2006 October,2006 Esperanza (Riverside),Cost ($B),1.0
2006 October,2006 Esperanza (Riverside),Acres,40200.0
2006 October,2006 Esperanza (Riverside),Structures,5.0
2003,,Acres,364527.0
2003,,Cost ($B),2.5
2003,,Structures,3823.0
2006,,Acres,40200.0
2006,,Cost ($B),1.0
2006,,Structures,5.0
2017,,Acres,318700.0
2017,,Cost ($B),3.5
2017,,Structures,6706.0
2018,,Acres,479936.0
2018,,Cost ($B),24.2
2018,,Structures,22061.0
