Year,Unit,Value
2001,$B USD,544.0
2002,$B USD,569.0
2003,$B USD,600.0
2004,$B USD,645.0
2005,$B USD,683.0
2006,$B USD,729.0
2007,$B USD,762.0
2008,$B USD,788.0
2009,$B USD,753.0
2010,$B USD,763.0
2011,$B USD,783.0
2012,$B USD,821.0
2013,$B USD,852.0
2014,$B USD,902.0
2015,$B USD,967.0
2016,$B USD,996.0
2017*,$B USD,1044.0
2014,Personal Income Per Capita,
2004,Personal Income Per Capita,34584.0
2005,Personal Income Per Capita,36540.0
2006,Personal Income Per Capita,39508.0
2008,Personal Income Per Capita,42165.0
2009,Personal Income Per Capita,40396.0
2010,Personal Income Per Capita,41163.0
2012,Personal Income Per Capita,45800.0
2013,Personal Income Per Capita,46530.0
2011,Personal Income Per Capita,43062.0
2007,Personal Income Per Capita,41058.0
