Year,Units,Value
2020,Total park acres,"37,028"
2020,Parkland as percent of city area (%),12.6
2019,Total park acres,"36,934"
2019,Parkland as percent of city area (%),12.5
2018,Total park acres,"37,405"
2018,Parkland as percent of city area (%),12.5
2017,Total park acres,"37,405"
2017,Parkland as percent of city area (%),12.5
2016,Total park acres,"38,822"
2016,Parkland as percent of city area (%),13.2
2015,Total park acres,"36,177"
2015,Parkland as percent of city area (%),12.3
2014,Total park acres,"36,112"
2014,Parkland as percent of city area (%),12.2
