Year,Departmental/ Non-departmental,Unit,Value
2018,,Adopted Budget (Million $),"9,292"
2018,Departmental,Adopted Budget (Million $),"4,469"
2018,Non-departmental,Adopted Budget (Million $),"4,823"
2018,,Actual Expenditures (Million $),"8,574"
2018,Departmental,Actual Expenditures (Million $),"4,592"
2018,Non-departmental,Actual Expenditures (Million $),"3,982"
2018,,Expenditure as a Proportion of Adopted Budget (%),92
2018,Departmental,Expenditure as a Proportion of Adopted Budget (%),103
2018,Non-departmental,Expenditure as a Proportion of Adopted Budget (%),83
2017,,Adopted Budget (Million $),"8,777"
2017,Departmental,Adopted Budget (Million $),"4,290"
2017,Non-departmental,Adopted Budget (Million $),"4,487"
2017,,Actual Expenditures (Million $),"8,291"
2017,Departmental,Actual Expenditures (Million $),"4,348"
2017,Non-departmental,Actual Expenditures (Million $),"3,943"
2017,,Expenditure as a Proportion of Adopted Budget (%),94
2017,Departmental,Expenditure as a Proportion of Adopted Budget (%),101
2017,Non-departmental,Expenditure as a Proportion of Adopted Budget (%),88
2016,,Adopted Budget (Million $),"8,583"
2016,Departmental,Adopted Budget (Million $),"4,136"
2016,Non-departmental,Adopted Budget (Million $),"4,446"
2016,,Actual Expenditures (Million $),"7,778"
2016,Departmental,Actual Expenditures (Million $),"4,113"
2016,Non-departmental,Actual Expenditures (Million $),"3,665"
2016,,Expenditure as a Proportion of Adopted Budget (%),91
2016,Departmental,Expenditure as a Proportion of Adopted Budget (%),99
2016,Non-departmental,Expenditure as a Proportion of Adopted Budget (%),82
2015,,Adopted Budget (Million $),"8,122"
2015,Departmental,Adopted Budget (Million $),"3,865"
2015,Non-departmental,Adopted Budget (Million $),"4,257"
2015,,Actual Expenditures (Million $),"7,421"
2015,Departmental,Actual Expenditures (Million $),"3,970"
2015,Non-departmental,Actual Expenditures (Million $),"3,451"
2015,,Expenditure as a Proportion of Adopted Budget (%),91
2015,Departmental,Expenditure as a Proportion of Adopted Budget (%),103
2015,Non-departmental,Expenditure as a Proportion of Adopted Budget (%),81
2014,,Adopted Budget (Million $),"7,686"
2014,Departmental,Adopted Budget (Million $),"3,719"
2014,Non-departmental,Adopted Budget (Million $),"3,967"
2014,,Actual Expenditures (Million $),"7,076"
2014,Departmental,Actual Expenditures (Million $),"3,754"
2014,Non-departmental,Actual Expenditures (Million $),"3,322"
2014,,Expenditure as a Proportion of Adopted Budget (%),92
2014,Departmental,Expenditure as a Proportion of Adopted Budget (%),101
2014,Non-departmental,Expenditure as a Proportion of Adopted Budget (%),84
2013,,Adopted Budget (Million $),"7,246"
2013,Departmental,Adopted Budget (Million $),"3,575"
2013,Non-departmental,Adopted Budget (Million $),"3,672"
2013,,Actual Expenditures (Million $),"6,747"
2013,Departmental,Actual Expenditures (Million $),"3,612"
2013,Non-departmental,Actual Expenditures (Million $),"3,135"
2013,,Expenditure as a Proportion of Adopted Budget (%),93
2013,Departmental,Expenditure as a Proportion of Adopted Budget (%),101
2013,Non-departmental,Expenditure as a Proportion of Adopted Budget (%),85
2012,,Adopted Budget (Million $),"6,872"
2012,Departmental,Adopted Budget (Million $),"3,405"
2012,Non-departmental,Adopted Budget (Million $),"3,467"
2012,,Actual Expenditures (Million $),"6,607"
2012,Departmental,Actual Expenditures (Million $),"3,557"
2012,Non-departmental,Actual Expenditures (Million $),"3,050"
2012,,Expenditure as a Proportion of Adopted Budget (%),96
2012,Departmental,Expenditure as a Proportion of Adopted Budget (%),104
2012,Non-departmental,Expenditure as a Proportion of Adopted Budget (%),88
2011,,Adopted Budget (Million $),"6,749"
2011,Departmental,Adopted Budget (Million $),"3,385"
2011,Non-departmental,Adopted Budget (Million $),"3,364"
2011,,Actual Expenditures (Million $),"6,433"
2011,Departmental,Actual Expenditures (Million $),"3,487"
2011,Non-departmental,Actual Expenditures (Million $),"2,945"
2011,,Expenditure as a Proportion of Adopted Budget (%),95
2011,Departmental,Expenditure as a Proportion of Adopted Budget (%),103
2011,Non-departmental,Expenditure as a Proportion of Adopted Budget (%),88
