Year,Units,Value
2018,Total Physician and Surgeon Licenses,30848
2017,Total Physician and Surgeon Licenses,30659
2016,Total Physician and Surgeon Licenses,30160
2015,Total Physician and Surgeon Licenses,29118
2014,Total Physician and Surgeon Licenses,29120
2013,Total Physician and Surgeon Licenses,28672
2012,Total Physician and Surgeon Licenses,28181
2018,"Total Physician and Surgeon Licenses per 1,000 population",7.730419657
2017,"Total Physician and Surgeon Licenses per 1,000 population",7.665244408
2016,"Total Physician and Surgeon Licenses per 1,000 population",7.584894993
2015,"Total Physician and Surgeon Licenses per 1,000 population",7.33100766
2014,"Total Physician and Surgeon Licenses per 1,000 population",7.41188146
2013,"Total Physician and Surgeon Licenses per 1,000 population",7.381434169
2012,"Total Physician and Surgeon Licenses per 1,000 population",7.30496715
