Year,Units,Value
2015	% Since the age of 18		Percentage	16.7,,
2015	Rate of Emergency Room Visits per 100k Adults		Percentage	7.4,,
2015	% Since the age of 18	Asian/Pacific-Islander Women	Percentage	6.9,,
2015	Rate of Emergency Room Visits per 100k Adults	Asian/Pacific-Islander Women	Percentage	1.9,,
2015	% Since the age of 18	African American Women	Percentage	25.4,,
2015	Rate of Emergency Room Visits per 100k Adults	African American Women	Percentage	14.1,,
2015	% Since the age of 18	Latina Women	Percentage	13.1,,
2015	Rate of Emergency Room Visits per 100k Adults	Latina Women	Percentage	7.5,,
2015	% Since the age of 18	White Women	Percentage	24,,
2015	Rate of Emergency Room Visits per 100k Adults	White Women	Percentage	6.8,,
