Year,Value
1990,64746.176020000006
1991,62713.13432999999
1992,63272.194039999995
1993,62199.03509
1994,62779.744589999995
1995,62464.100179999994
1996,64178.80708
1997,65862.29617
1998,65704.4068
1999,66711.395
2000,69442.15761000001
2001,69743.63613
2002,67711.41408
2003,68515.73422
2004,69214.89469
2005,69993.61007000001
2006,70939.03277
2007,71264.11872
2008,72094.82403999999
2009,69965.43463999999
2010,68272.30209
2011,68209.2133
2012,69274.86658
2013,68366.42788999999
2014,69946.07105
2015,69690.51091
2016,68779.25003
2017,68800.94671
2018,67856.28125
